questions	answers
Who is the mother of the director of film Atomised (Film)?	Duncan McLaren.
When did Guglielma Pallavicini's mother die?	Michelle Feldman (born April 19, 1976) is a former professional ten- pin bowler and former member of the Professional Women's Bowling Association(PWBA)
Which film has the director died earlier, Black Belly Of The Tarantula or Devil On Deck?	[Final Answer]: Black Belly Of The Tarantula.
What is the date of birth of Mohammed Bin Nawwaf Bin Abdulaziz's father?	6 Dzulhijjah 1276 H( 1860 M)
What is the place of birth of the director of film Encino Man?	Italian director Giulio Base.
Which film has the director born later, Song Of The Open Road or Campaign Of Hate: Russia And Gay Propaganda?	Campaign Of Hate: Russia And Gay Propaganda
Which film has the director who died later, The Olsen Gang In Jutland or Pathala Bhairavi?	Pathala Bhairavi
Who is Marcus Aemilius Lepidus (Executed 39)'s father-in-law?	Lucius Domitius Ahenobarbus.
Which film came out earlier, The Champion Of Pontresina or The Bulleteers?	French.
Where was the place of burial of Kunigunde Of Poland's father?	Djed-Khons-ef-ankh, son of the first prophet of Amun, Djed-Khons-ef-ankh, son of the Lord of the Two Lands, Pinedjem, Beloved of Amun, first prophet of Amun.
Who is Charles Xiii Of Sweden's paternal grandfather?	[Final Answer]: Carl XIII.
Which country the performer of song I Might Have Been Queen is from?	Duncan Norvelle), and Yasmin (with Duncan Norvelle).
Who is the maternal grandfather of Conan Ii, Duke Of Brittany?	Rabagliati, MBE, née McLaren, (1851–1934)
Where was the wife of Pierre-Marie Gault De Saint-Germain born?	Mauger.
Who is Henri Ii, Duke Of Nemours's paternal grandfather?	King Henry IV of England
Which film whose director was born first, Gangster'S Boy or Torno A Vivere Da Solo?	Lenny.
Which film was released more recently, Il Marchio Di Kriminal or Nandhi?	Nandhi
Where did Sultan Walad's father die?	Sultan Mahmud Shah.
Where was the director of film Mister Scarface born?	Auburn, NY.
Where was the place of death of Salin Mibaya's husband?	Paddington.
Are Paris Sewer Museum and Musée National Des Douanes located in the same country?	[Final Answer]: No.
Which film has the director died first, Let'S Live Again or Kummatty?	Kummatty
Which film has the director who was born earlier, Thalapathi or Pour La Peau D'Un Flic?	Pour La Peau D'Un Flic
Who is Tekle Haymanot Ii's paternal grandfather?	Emperor of Ethiopia.
Where was the place of burial of the director of film Broadway Bad?	Paddington.
What is the date of death of Matilda Of Boulogne, Duchess Of Brabant's mother?	a monastery founded by his father Robert I de Brus.
Are Xavier Catholic College, Llandilo and Toowoomba Anglican School located in the same country?	no
What is the place of birth of the performer of song Are You Really Mine??	London
What nationality is Cecilia Renata Of Austria's husband?	ten- pin bowling record and is a member of the Professional Women's Bowling Association (PWBA).
Which film has the director born first, 84 Charing Cross Road (Film) or Emperor'S Ball?	84 Charing Cross Road (Film)
Do director of film Just Married (1934 Film) and director of film The Thirteenth Commandment share the same nationality?	no
Who is the paternal grandfather of Eochaid Ailtlethan?	Eochaid mac Fiachnai
Are Les Misérables (1917 Film) and The Better 'Ole (1926 Film) both from the same country?	[Final Answer]: No.
What is the date of birth of Francis Otto, Duke Of Brunswick-Lüneburg's father?	Ancient Egyptian.
Where was the director of film The Naked Angel born?	Pitcairn Island.
Which film was released first, Assault On Dome 4 or The Battle Of The Rails?	The Battle Of The Rails
Where was the place of burial of Pareherwenemef's mother?	St. Monica's.
Who is the maternal grandfather of Princess Helena Adelaide Of Schleswig-Holstein-Sonderburg-Glücksburg?	Bohemian Saint.
Who was born later, Zhang Mengying or Wolfgang Herrndorf?	Gothelo II was a member of the IMARO and in 1902 he was elected a member of the Solun congress.
Which country Jessie Harlan Lincoln's father is from?	John McKenzie.
Which film whose director is younger, Maine Pyaar Kyun Kiya? or Children Of The Streets?	Lenny's wife, Gloria, is 30 years older than her.
Where was the father of George Howard, 4Th Earl Of Suffolk born?	Charles Dickson served in the legislative assembly and his son Edward Mortimer became a lawyer and office-holder in Newfoundland.
Which film has the director who was born later, Enjoy Yourselves or A Song To Remember?	Langdon Elwyn Mitchell.
Where was the mother of Elizabeth Stafford born?	United States.
What is the place of birth of the performer of song If You Want To Be My Woman?	London
Which film was released more recently, Hit Of The Show or The Incredibly Strange Creatures Who Stopped Living And Became Mixed-Up Zombies?	[Final Answer]: Hit Of The Show.
Who is the spouse of the performer of song Neurotic Society (Compulsory Mix)?	Peter Cetera
Where was the director of film Veera Thalattu born?	Auburn, NY
Which film has the director born later, Tell It To The Bees or House Of The Black Death?	House Of The Black Death
Which country the director of film Brecha (2009 Film) is from?	[Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]:.
Where was the place of death of the director of film Basta Guardarla?	Bradford.
Which film has the director who died earlier, The Third Visitor or The Dangerous Dude?	The Dangerous Dude
Who is the spouse of the director of film Min Kone Er Uskyldig?	Lenny and Charlotte
Which film has the director born earlier, Amityville 3-D or The Soul'S Cycle?	The Soul'S Cycle.
Which film has the director who died later, Bloody Moon or The House Of Pulcini?	The House Of Pulcini
Which film was released more recently, Behind Locked Doors or Crossing Delancey?	Crossing Delancey
Are both directors of films The Black Corsair (1937 Film) and Paths Of War from the same country?	[Final Answer]: No.
Which film whose director is younger, Beat Girl or The White Squaw?	Miller pleaded guilty to felony involuntary manslaughter and criminal trespassing.
Which film has the director died earlier, Remember The Day or Cast Up By The Sea?	Remember The Day
Which country Princess Katherine Of Greece And Denmark's mother is from?	Quartus de Wet.
Where was the director of film House In The Sun born?	Bancroft, Nebraska.
Do the movies Sweet Mama (Film) and Soy Andina, originate from the same country?	No.
Where does the director of film Die Abfahrer work at?	[Final Answer]: London
Who is the paternal grandmother of Charles Stuart, 1St Earl Of Lennox?	[Final Answer]: [Final Answer]: Hugh Montgomerie.
What is the cause of death of director of film She Asked For It?	AIDS epidemic
Who is Maurice De Berkeley, 4Th Baron Berkeley's maternal grandfather?	Benjamin Ayloffe.
Which country Æthelwald, Ealdorman Of East Anglia's wife is from?	[Final Answer]: Denmark.
Which film whose director is younger, Vadakakku Oru Hridayam or The $1,000,000 Reward?	The $1
Where was the director of film Blood Father born?	John McKenzie was the first Catholic to become president of the Society of Biblical Literature.
Who is the spouse of the director of film Zabak?	Deniz akr
Which film has the director who died later, Valentin The Good or A Daughter Of Two Worlds?	Inherent Vice is a 2014 American neo-noir period comedy-drama film written and directed by Paul Thomas Anderson.
Where was the father of Maurice De Saxe born?	Robert II de Brus, 1st Lord of Annandale, died in 1995 at Manchester, England.
Which film has the director who was born later, Til Sæters or Ruben Guthrie?	Aaltonen was born to a tailor in the village of Karinainen, Finland.
Who was born later, Tsvetko Slavov or Marc Burrows?	He was a slacker and a lothario.
What is the place of birth of the director of film The Blue And White Lion?	"Hilda Neihardt"""
Which film has the director who died later, The Monkey Talks or Varakatnam?	The Monkey Talks
What nationality is Claire Annabel Caroline Grant Duff's father?	Donald Moffat in the film The Right Stuff.
Where was the place of death of Princess Anne Charlotte Of Lorraine's mother?	The Duke of Atholl died in Dunkeld, Perthshire, in May 1897, aged 82.
Who was born first out of Pierre Gauvreau and Tit Liviu Chinezu?	Millie Donay)
When is Princess Joséphine Marie Of Belgium's mother's birthday?	[Final Answer]: 27 May 2017
Who is Infante Philip, Duke Of Calabria's paternal grandmother?	Debra Monk as Count of Maine
Where was the place of death of the director of film We (1982 Film)?	Lower Lorraine
Which album came out first, Sol Niger Within or The Magic Place?	The Magic Place
Which country the director of film Downloaded (Film) is from?	United States.
Are The Finches and She Drew The Gun both from the same country?	John Mulkey
Where did Joanna, Duchess Of Durazzo's mother die?	Johann Wilhelm II.
Who is the father-in-law of Ri Sol-Ju?	Kim Jong-il was the second leader of North Korea in 1994 until his own death in 2011.
Which film has the director died later, All The Sins Of The Earth or Women In The Wind?	All The Sins Of The Earth.
Who was born first, Patrik Lácha or Brad Booth?	Rosalia Masson, née Masson, was a British circus artist.
Where was the place of death of Lin Liguo's father?	Lower Lorraine
Where was the place of death of the director of film Valley Of The Giants (Film)?	Lower Lorraine
Who is younger, Jonetani Ralulu or Andre Blay?	"Lesley M. M. Blume is an award-winning journalist and ""New York Times"" bestselling author."
Who is Fernando Rodríguez De Castro's paternal grandfather?	Alfonso VIII, the Laras were defeated by the Laras.
Which film came out earlier, Gran Torino or Rivaaj?	"Apoorva Sagodharargal"""
Which film has the director who died first, Everybody'S Hobby or One Sunday Afternoon (1948 Film)?	Everybody'S Hobby
Where was the director of film The Wedding Video (2003 Film) born?	Auburn, NY.
Who is Sir William Gore, 3Rd Baronet's paternal grandfather?	William Ormsby- Gore, 4th Baron Harlech.
Who is the mother of the founder of university Libera Università Internazionale Degli Studi Sociali Guido Carli?	Christian theologian is a scholarly and popular scholar.
Who is the spouse of the director of film Worldly Goods?	Final Answer: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: Rip Van Winkle.
What nationality is the director of film Vortex (1976 Film)?	Yugoslavia.
Where was the place of death of Elisabeth Of Moravia's mother?	Admont Abbey.
Who was born later, Charles Burls or George Hypolite?	Gothelo and Gothelo II are a sexy camp.
Who is the maternal grandfather of Princess Louise Of Belgium?	George I of Great Britain Mother Charlotte of Mecklenburg - Strelitz Religion Anglican Occupation Military (Naval) Signature Military career Allegiance United Kingdom Service / branch Royal Navy (active service) Years of service 1779 -- 1790 (active service) Rank Rear - Admiral (active service) Commands held HMS Andromeda HMS Pegasus Battles / wars Battle of Cape St Vincent George II Portrait by Thomas Hudson, 1744 King of Great Britain and Ireland Elector of Hanover (more...) Reign 11 / 22 June 1727 -- 25 October 1760 1760 1760 - 10 - 25
Which film was released more recently, Horas Marcadas or Tiny Times 3?	Horas Marcadas
Who is the paternal grandfather of Sultan Al-Dawla?	Enkidu's first aura to the fields.
Where did Mate Meštrović's father graduate from?	Mace graduated from the University of Michigan with a Ph.D. in history from Indiana University Bloomington in 1889.
Which country the director of film Funny Games (2007 Film) is from?	Iran.
Where does the composer of film Rivers And Tides work at?	He has been a director of films since 1994.
What nationality is the director of film Top Floor Girl?	Final Answer: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]:
Where did the director of film Polish-Russian War (Film) study?	Romania
Where did Roberto Civita's father die?	Hilda Neihardt.
What is the date of death of Fitzroy Somerset, 5Th Baron Raglan's father?	He was a Cornet.
What is the place of birth of the director of film Martial Law (1991 Film)?	Pretoria.
Which film was released more recently, Last Of The Long-Haired Boys or Age Of The Dragons?	Age Of The Dragons.
Which film was released more recently, How Poets Are Enjoying Their Lives or Os Faroleiros?	How Poets Are Enjoying Their Lives.
What is the place of birth of John F. Kennedy Jr.'s mother?	John McKenzie.
Are both Flying Fifty-Five and Approaching Midnight from the same country?	[Final Answer]: No.
What nationality is the director of film Detachment (Film)?	Yugoslav
Where does the director of film Podokkhep work at?	[Final Answer]: The film director works at the dhs.gov website.
Where does David Flair's father work at?	David Richard Fliehr (born March 6, 1979), better known by his ring name David Flair, is an American retired professional wrestler best known for his time in World Championship Wrestling( WCW), where he held the United States and World Tag Team championships.
Are Half Mile Lagoon and Lake Waitaki both located in the same country?	no
Who was born first out of Misaele Draunibaka and Ross Clark?	John McKenzie.
What is the date of birth of Augustus Paulet, 15Th Marquess Of Winchester's father?	Robert II de Brus, 1st Lord of Annandale.
Where was the father of Nigel De Brus born?	Robert II de Brus, 1st Lord of Annandale.
Who is Hye Of Baekje's paternal grandfather?	Goguryeo began a golden age, becoming a powerful empire and one of the great powers in East Asia.
Are Car Trouble (Film) and White Heat (1926 Film) both from the same country?	no
Which film has the director who is older, Dialogues Of Exiles or Rhythm And Weep?	[Final Answer]: Rhythm And Weep.
Who is older, William Henry Rodes Green or Eleanor Of Lancaster?	Harry Grey, 4th Earl of Stamford (18 June 1715 – 30 May 1768) was an English peer, styled Lord Grey from 1720 to 1739.
Which film has the director who died earlier, In The First Degree or The Sea God?	The Sea God
Who is the paternal grandfather of Gilbert De Umfraville, Earl Of Angus?	Magnus III.
Who is the paternal grandmother of Reinald Iv, Duke Of Guelders And Jülich?	German defence minister.
Which film has the director who died first, Another Language or Les Tontons Flingueurs?	Another Language
Who is the paternal grandmother of Arthur Gore, 1St Earl Of Arran?	[Final Answer]: George Hay- Drummond.
Which film was released earlier, Farewell To The King or Brother Liu And Brother Wang On The Roads In Taiwan?	Brother Liu And Brother Wang On The Roads In Taiwan
Who lived longer, Bernhard Afinger or Melvin Kranzberg?	Italian figurative artist was a great artist.
What is the place of birth of the director of film Samarpane?	Michelle Feldman has played for the Women's Bowling Association (PWBA) since the age of 18 and has played for the Women's Bowling Association (WBA).
Where was the father of Princess Amelia Of Great Britain born?	Alexander (21 January 1264 – 28 January) was a noble and 2nd Lord of Annandale.
Where did Rudra Mohammad Shahidullah's wife study at?	University of Missouri Law School in 1904 and was a member of the University of Missouri Law School.
Are Walter E. Massey and Matt Horwich both from the same country?	Pamplona.
What is the place of birth of the director of film A Gun & A Ring?	Shimla
Who is Albert Iii, Prince Of Anhalt-Zerbst's paternal grandfather?	William Beresford, 1st Baron Decies.
Where did Judith Of Swabia's mother die?	Hilda Neihardt left the Consulate in 1944.
Where was the place of burial of Karomama I's husband?	Zagwe dynasty for its rebirth.
Which award the performer of song Beating Heart (Ellie Goulding Song) got?	[Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final
What nationality is Prince Napoléon Bonaparte's father?	Napoléon-Jérôme Bonaparte or Jérôme Bonaparte, was the second son of Jerome, King of Westphalia and his second wife Catharina of Württemberg.
Where was the founder of magazine Track & Field News born?	He's not going to go.
Why did the director of film Normande (Film) die?	He died in 1046.
Which film has the director born later, The Man Who Murdered or Newness?	Langdon Elwyn Mitchell.
Where did the director of film The Price Of Everything study?	University of California Los Angeles
What is the place of birth of the director of film Venus Makes Trouble?	Pope Benedict XVI
Which film has the director who was born later, Meraa Dost Meraa Dushman or Miles From Home?	Final Answer: [Final Answer]: [Final Answer]: [Final Answer]: Michelle Feldman.
Which film has the director born earlier, Pieces Of A Woman or Oriental Nights?	Pieces Of A Woman
Was Dudley Russell or Juan René Serrano born first?	Ron Haney, Bart Schoudel and Kim Henry were signed to Universal Records and are probably most commonly known for their appearances with Michael J. Fox on his television show Spin City.
Which film has the director who died later, The Lady Owner or Behind Prison Gates?	Behind Prison Gates
Who is Olga Constantinovna Of Russia's maternal grandfather?	Angela Merkel's cabinet.
Which film has the director died later, Taipei Story or The Ballad Of Cossack Golota?	Taipei Story
Where did Oleg Kerensky's father die?	Nikolai Petrovich Sheremetev was a Russian count.
Who died earlier, Chiang Chung-Ling or George Andreadis?	Alexander de Brus, 6th Lord of Annandale and Margaret, Countess Of Carrick.
Where was the husband of Mok Kwai-Lan born?	Beijing.
Did the movies Afraid Of The Dark and Smiley (2012 Film), originate from the same country?	[Final Answer]: No.
Are both Enmelen and Yelshanka located in the same country?	no
What is the cause of death of performer of song Blues Run The Game?	the secretary to the prime minister
Are Freestylers and The Nouvelles both from the same country?	Quebec, is a Canadian documentary film by Catherine Annau.
Which film has the director who was born later, Eradu Rekhegalu or The Gentleman From Nowhere?	The Gentleman From Nowhere
Who is Eleanor Of England, Countess Of Leicester's paternal grandmother?	Royal Navy (active service)
Where was the director of film I'Ll Follow You Down born?	Guy Owen (February 24, 1925 – July 25, 1981) was an American writer and poet.
Where was the place of burial of Princess Barbara Of Prussia's father?	Queen's College, Oxford.
Which film has more directors, A Night Of Horror or The Whispering Shadow?	""""
Who is younger, Vedran Purić or Jenő Kuti?	Rodrigo's estranged violinist wife John Miller as Dee Dee, the drug - dealing percussionist of the New York Symphony.
Which film has the director died first, To Mary – With Love or Five Little Peppers And How They Grew?	Five Little Peppers And How They Grew.
Which film has the director born later, Where Are You? I'M Here or 11 Flowers?	11 Flowers
Who is Countess Alexandra Von Zarnekau's paternal grandmother?	Rodrigo's childhood friend
Which film was released earlier, Gangai Karai Paattu or God In Heaven... Arizona On Earth?	[Final Answer]: God In Heaven.
Where did Elisabeth Of Hesse, Electress Palatine's mother die?	Helena's life, she was a sculptor and naval officer.
What is the place of birth of the performer of song Thru Your Phone?	Helsinki
Where did Ulysses S. Grant Jr.'s father graduate from?	He was a professor of history at Syracuse University.
Are the movies Amy (2015 Film) and Manhattan Angel, from the same country?	[Final Answer]: No.
What is the date of birth of Marie Jeanne Baptiste Of Savoy-Nemours's husband?	country's financial crisis was blamed on her lavish spending and her opposition to the social and financial reforms of Turgot and Necker.
Where was the director of film Rocket Attack U.S.A. born?	Auburn, NY.
When was the composer of song Hot Time In The Town Of Berlin born?	Schoenberg's works were regarded as a'silver' and a'silver'.
Where was the place of burial of Lorenzo Cybo's mother?	Order of the British Empire
Are the directors of films Back To Back (1996 Film) and The White Hen both from the same country?	[Final Answer]: No.
Where was the director of film Katka'S Reinette Apples born?	Auburn, NY.
Who is the paternal grandmother of Renaud Iii, Count Of Soissons?	"[Final Answer]: Sibyl de Neufmarché, Countess of Hereford, ""suo jure"" Lady of Brecknock."
Who is George Frederick, Count Of Erbach-Breuberg's paternal grandfather?	PWBA Tour.
Which film has the director died later, Dissolved And Effused or Here Comes The Groom?	Here Comes The Groom
What is the place of birth of the director of film Chronicles Of A Dive Bomber?	Los Angeles.
What nationality is the singer of Pre (Band)?	Macedonian.
Who is Anna Of Nassau-Dillenburg (1541–1616)'s maternal grandmother?	Lord Hay of Kinnoull in the Peerage of Scotland; and Baron Aberconway in the Peerage of Scotland.
Which film has the director who was born later, Fugitive Rage or Neapolitan Carousel?	Lenny is a former professional basketball player.
Who is the father-in-law of Prince Feodor Alexandrovich Of Russia?	Alexander was the first king of Congress Poland, reigning from 1815 to 1825, as well as the first Russian Grand Duke of Finland, reigning from 1809 to 1825.
Where did the director of film Battle Taxi die?	Gothelo II, was killed in the attack.
Are the directors of both films I Can'T Marry Them All and Come To The Stable from the same country?	[Final Answer]: No.
Who was born first out of Johan Bardoul and Peter Seton Hay?	[Final Answer]: Jacob Benjamin Gyllenhaal.
When did Philip Iii, Marquis Of Namur's father die?	Philip II of Namur was the Count of Namur from 1216 to his death.
Who was born first out of Adnen Helali and Maria Poulsen?	Camberwell.
Which film came out first, Legend Of The Sea Wolf or Irvine Welsh'S Ecstasy?	[French'S Ecstasy]
Are both Lise Kristiansen and Bernt Lund from the same country?	no
What nationality is Kham Keut's father?	"Shaikh Ahmad Khatib al- Minangkabawi"" 1860–1916 M)"
Where did the director of film 29+1 study?	Bradford.
Which film came out earlier, Desam or The Legend Of Paul And Paula?	The Legend Of Paul And Paula
Are the movies Seeing Red (1992 Film) and Wind From The Icy Country, from the same country?	No
Are both mountains, Kunturwasa and Yerupaja Chico, located in the same country?	no
Which country the director of film Secrets Of A Door-To-Door Salesman is from?	Norway.
Where does the director of film The Witnesses work at?	American
Which film has the director who was born later, Young Buffalo Bill or The Lacquered Box?	The Lacquered Box.
What is the cause of death of director of film The Street Of Illusion?	AIDS epidemic
Who was born first, Thomas Rolfe or Roger Miret?	Second World War.
Where was the father of Benjamin Lewis Vulliamy born?	New Testament.
Where did the director of film Bridge Over The Elbe die?	Simon Favre was a prominent interpreter of the Muskogean languages.
Where did the director of film Mary Jane'S Pa die?	[Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final
Who lived longer, Claes-Ulrik Winberg or André Piters?	pursued the development of a nuclear bomb for Germany during this time.
What is the place of birth of Danielle Lineker's husband?	Hilda Neihardt
Who is the father-in-law of Graham Smith (Māori Academic)?	John McKenzie was the first Catholic to become president of the Society of Biblical Literature.
Where was the father of Gwen Graham born?	Mount Everest, Victoria, Australia.
